8,3;0:02.150;;7,7;0:02.130;;6,7;0:01.720;;7,1;0:01.800;
8,3;0:02.160;;7,1;0:02.140;;7,1;0:01.730;;6,7;0:01.810;
8,3;0:02.170;;7,7;0:02.150;;7,7;0:01.740;;6,7;0:01.820;
8,3;0:02.180;;7,7;0:02.160;;7,7;0:01.750;;6,7;0:01.830;
8,3;0:02.190;;7,7;0:02.170;;7,7;0:01.760;;7,1;0:01.840;
8,3;0:02.200;;7,1;0:02.180;;7,7;0:01.770;;6,7;0:01.850;
7,7;0:02.210;;7,7;0:02.190;;7,7;0:01.780;;6,7;0:01.860;
8,3;0:02.220;;7,7;0:02.200;;7,7;0:01.790;;6,7;0:01.870;
7,7;0:02.230;;7,7;0:02.210;;7,1;0:01.800;;7,1;0:01.880;
8,3;0:02.240;;7,7;0:02.220;;15,4;0:01.820;;7,1;0:01.890;
7,7;0:02.250;;7,7;0:02.230;;7,7;0:01.830;;6,2;0:01.900;
16,7;0:02.270;;7,7;0:02.240;;7,7;0:01.840;;7,1;0:01.910;
8,3;0:02.280;;7,7;0:02.250;;6,2;0:01.850;;7,1;0:01.920;
7,7;0:02.290;;7,7;0:02.260;;7,7;0:01.860;;7,1;0:01.930;
8,3;0:02.300;;7,7;0:02.270;;7,7;0:01.870;;14,3;0:01.950;
8,3;0:02.310;;7,7;0:02.280;;7,7;0:01.880;;7,1;0:01.960;
8,3;0:02.320;;7,1;0:02.290;;7,1;0:01.890;;6,2;0:01.970;
7,7;0:02.330;;7,7;0:02.300;;7,1;0:01.900;;7,1;0:01.980;
8,3;0:02.340;;7,7;0:02.310;;12,5;0:01.920;;6,7;0:01.990;
7,7;0:02.350;;7,1;0:02.320;;5,9;0:01.930;;7,1;0:02.000;
8,3;0:02.360;;7,7;0:02.330;;7,1;0:01.940;;6,7;0:02.010;
8,3;0:02.370;;7,7;0:02.340;;7,7;0:01.950;;7,1;0:02.020;
7,7;0:02.380;;7,1;0:02.350;;7,7;0:01.960;;7,1;0:02.030;
7,7;0:02.390;;7,1;0:02.360;;7,7;0:01.970;;7,1;0:02.040;
8,3;0:02.400;;7,7;0:02.370;;7,1;0:01.980;;6,7;0:02.050;
7,7;0:02.410;;7,1;0:02.380;;7,7;0:01.990;;7,1;0:02.060;
7,7;0:02.420;;7,7;0:02.390;;7,1;0:02.000;;7,1;0:02.070;
7,7;0:02.430;;7,7;0:02.400;;7,1;0:02.010;;6,7;0:02.080;
7,7;0:02.440;;7,1;0:02.410;;7,1;0:02.020;;7,1;0:02.090;
7,7;0:02.450;;14,3;0:02.430;;7,1;0:02.030;;14,3;0:02.110;
7,7;0:02.460;;6,2;0:02.440;;15,4;0:02.050;;7,1;0:02.120;
15,4;0:02.480;;7,7;0:02.450;;7,7;0:02.060;;6,7;0:02.130;
7,7;0:02.490;;7,7;0:02.460;;6,7;0:02.070;;7,1;0:02.140;
8,3;0:02.500;;7,7;0:02.470;;7,7;0:02.080;;6,7;0:02.150;
7,7;0:02.510;;7,7;0:02.480;;7,7;0:02.090;;14,3;0:02.170;
8,3;0:02.520;;7,7;0:02.490;;7,1;0:02.100;;7,1;0:02.180;
7,1;0:02.530;;7,7;0:02.500;;7,1;0:02.110;;7,1;0:02.190;
8,3;0:02.540;;7,7;0:02.510;;8,3;0:02.120;;7,1;0:02.200;
7,7;0:02.550;;7,7;0:02.520;;7,1;0:02.130;;6,7;0:02.210;
8,3;0:02.560;;7,7;0:02.530;;7,1;0:02.140;;6,7;0:02.220;
7,7;0:02.570;;7,1;0:02.540;;7,1;0:02.150;;7,1;0:02.230;
8,3;0:02.580;;7,1;0:02.550;;6,7;0:02.160;;7,1;0:02.240;
7,7;0:02.590;;7,7;0:02.560;;7,7;0:02.170;;7,1;0:02.250;
15,4;0:02.610;;7,7;0:02.570;;7,1;0:02.180;;7,1;0:02.260;
8,3;0:02.620;;7,7;0:02.580;;7,1;0:02.190;;7,1;0:02.270;
8,3;0:02.630;;7,7;0:02.590;;7,7;0:02.200;;7,1;0:02.280;
7,7;0:02.640;;7,7;0:02.600;;7,7;0:02.210;;7,1;0:02.290;
7,7;0:02.650;;7,1;0:02.610;;7,1;0:02.220;;7,1;0:02.300;
16,7;0:02.670;;7,7;0:02.620;;7,7;0:02.230;;7,1;0:02.310;
8,3;0:02.680;;7,7;0:02.630;;7,1;0:02.240;;7,1;0:02.320;
7,7;0:02.690;;7,7;0:02.640;;7,7;0:02.250;;7,1;0:02.330;
8,3;0:02.700;;7,7;0:02.650;;7,7;0:02.260;;7,1;0:02.340;
8,3;0:02.710;;7,1;0:02.660;;7,1;0:02.270;;7,1;0:02.350;
8,3;0:02.720;;7,1;0:02.670;;7,1;0:02.280;;7,1;0:02.360;
8,3;0:02.730;;7,1;0:02.680;;7,1;0:02.290;;7,1;0:02.370;
8,3;0:02.740;;7,1;0:02.690;;7,7;0:02.300;;6,2;0:02.380;
8,3;0:02.750;;7,7;0:02.700;;7,7;0:02.310;;6,7;0:02.390;
7,7;0:02.760;;7,7;0:02.710;;15,4;0:02.330;;6,7;0:02.400;
8,3;0:02.770;;7,1;0:02.720;;7,7;0:02.340;;6,7;0:02.410;
8,3;0:02.780;;7,7;0:02.730;;7,7;0:02.350;;6,2;0:02.420;
8,3;0:02.790;;7,7;0:02.740;;7,1;0:02.360;;5,3;0:02.430;
7,7;0:02.800;;15,4;0:02.760;;7,7;0:02.370;;5,6;0:02.440;
7,7;0:02.810;;7,1;0:02.770;;7,1;0:02.380;;7,1;0:02.450;
8,3;0:02.820;;7,7;0:02.780;;8,3;0:02.390;;7,1;0:02.460;
7,7;0:02.830;;7,1;0:02.790;;7,1;0:02.400;;6,7;0:02.470;
7,7;0:02.840;;7,7;0:02.800;;7,7;0:02.410;;6,7;0:02.480;
8,3;0:02.850;;7,7;0:02.810;;7,7;0:02.420;;7,1;0:02.490;
7,7;0:02.860;;7,1;0:02.820;;7,1;0:02.430;;7,1;0:02.500;
8,3;0:02.870;;7,7;0:02.830;;7,1;0:02.440;;6,7;0:02.510;
7,7;0:02.880;;7,7;0:02.840;;7,7;0:02.450;;6,2;0:02.520;
8,3;0:02.890;;7,7;0:02.850;;7,7;0:02.460;;7,1;0:02.530;
8,3;0:02.900;;7,7;0:02.860;;7,1;0:02.470;;7,1;0:02.540;
7,7;0:02.910;;7,1;0:02.870;;7,7;0:02.480;;7,1;0:02.550;
7,7;0:02.920;;7,1;0:02.880;;7,7;0:02.490;;7,1;0:02.560;
7,7;0:02.930;;7,7;0:02.890;;7,7;0:02.500;;7,1;0:02.570;
8,3;0:02.940;;7,7;0:02.900;;7,7;0:02.510;;7,1;0:02.580;
8,3;0:02.950;;7,7;0:02.910;;7,7;0:02.520;;7,1;0:02.590;
7,7;0:02.960;;7,7;0:02.920;;7,1;0:02.530;;6,7;0:02.600;
8,3;0:02.970;;7,7;0:02.930;;7,7;0:02.540;;7,1;0:02.610;
7,7;0:02.980;;7,1;0:02.940;;7,1;0:02.550;;7,1;0:02.620;
8,3;0:02.990;;7,1;0:02.950;;7,7;0:02.560;;7,1;0:02.630;
8,3;0:03.000;;7,1;0:02.960;;7,7;0:02.570;;5,6;0:02.640;
7,7;0:03.010;;7,7;0:02.970;;7,1;0:02.580;;6,7;0:02.650;
7,7;0:03.020;;7,7;0:02.980;;7,1;0:02.590;;5,6;0:02.660;
7,7;0:03.030;;7,1;0:02.990;;6,7;0:02.600;;7,1;0:02.670;
7,7;0:03.040;;7,1;0:03.000;;7,1;0:02.610;;7,1;0:02.680;
7,7;0:03.050;;7,7;0:03.010;;7,7;0:02.620;;7,1;0:02.690;
8,3;0:03.060;;7,7;0:03.020;;7,7;0:02.630;;7,1;0:02.700;
8,3;0:03.070;;14,3;0:03.040;;7,1;0:02.640;;7,1;0:02.710;
7,7;0:03.080;;7,7;0:03.050;;7,7;0:02.650;;7,1;0:02.720;
7,7;0:03.090;;7,1;0:03.060;;6,7;0:02.660;;7,1;0:02.730;
8,3;0:03.100;;7,1;0:03.070;;7,1;0:02.670;;6,2;0:02.740;
7,7;0:03.110;;7,7;0:03.080;;7,7;0:02.680;;6,7;0:02.750;
8,3;0:03.120;;7,7;0:03.090;;7,7;0:02.690;;7,1;0:02.760;
7,7;0:03.130;;15,4;0:03.110;;7,1;0:02.700;;6,7;0:02.770;
7,7;0:03.140;;7,7;0:03.120;;7,7;0:02.710;;6,7;0:02.780;
8,3;0:03.150;;7,7;0:03.130;;7,7;0:02.720;;7,1;0:02.790;
8,3;0:03.160;;7,7;0:03.140;;7,7;0:02.730;;7,1;0:02.800;
